Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-06,1.0,-0.1292463134898962,-0.5000273074822501,-0.29997269251774983,-0.5065811032222829,-0.2949481157837247,0.0
2020-10-07,1.0,-0.12397235954442411,-0.5088629721683555,-0.29874634692595525,-0.5017070439461393,-0.2979815912380848,0.0
2020-10-08,1.0,-0.12322300744904363,-0.5073535430707523,-0.29741602772244813,-0.5027968020955551,-0.2977980299598898,0.0
2020-10-09,1.0,-0.12053254760735527,-0.5051017624270203,-0.2956293992470126,-0.5009548753205654,-0.3060238991651662,0.0
2020-10-12,1.0,-0.12120799149608875,-0.5049742429611055,-0.2922674371064897,-0.4967428929651939,-0.310420016898798,0.0
2020-10-13,1.0,-0.11854898009205043,-0.5064135733543942,-0.29134780358942236,-0.4948119502165091,-0.312290639723304,0.0
2020-10-14,1.0,-0.11790809103778722,-0.5073233148208647,-0.2905913100294022,-0.49384732658172714,-0.31275182402265056,0.0
2020-10-15,1.0,-0.11801377507962868,-0.5070644924182616,-0.29058339912340403,-0.493643317997441,-0.3130427680831949,0.0
2020-10-16,1.0,-0.11539928096742565,-0.5120383484039656,-0.2870683080945637,-0.49291861858590263,-0.31618368013944875,0.0
2020-10-19,1.0,-0.11561087205185468,-0.5117108774987744,-0.2851462497957405,-0.49300070809956964,-0.31799117598997767,0.0
2020-10-20,1.0,-0.11525054466230937,-0.511900871459695,-0.28679193899782135,-0.4936002178649237,-0.3157952069716775,0.0
2020-10-21,1.0,-0.11329070874710925,-0.5088287307849272,-0.28907631614746293,-0.4925588355325806,-0.31696367841110057,0.0
2020-10-22,1.0,-0.11321832825424466,-0.509060731388768,-0.2889638659120592,-0.4921364823683065,-0.3175609490639965,0.0
2020-10-23,1.0,-0.11657593903102885,-0.5060152422427872,-0.29148067501360914,-0.49265106151333693,-0.31510615133369624,0.0
2020-10-26,1.0,-0.11661950370047888,-0.5068023508924684,-0.290297126686983,-0.4933609055289508,-0.31386047017849367,0.0
2020-10-27,1.0,-0.09897237421593488,-0.5094888562658482,-0.2797277458961698,-0.46955825437074605,-0.31141064993994394,0.0
2020-10-28,1.0,-0.10330192456557136,-0.5092491258041267,-0.2851880522115154,-0.4703040333128687,-0.3012305474735072,0.0
2020-10-29,1.0,-0.09024435640405222,-0.5115530856975724,-0.28556994336462016,-0.46706905262038345,-0.30452817144832356,0.0
2020-10-30,1.0,-0.09079549080080825,-0.510289269382112,-0.28384558119749015,-0.46732425821546314,-0.30644475167499735,0.0
2020-11-02,1.0,-0.08268500570882345,-0.5080587344998806,-0.2821220891638565,-0.4678579963357319,-0.3145428958338865,0.0
2020-11-03,1.0,-0.08269659344157912,-0.5043245250981642,-0.278122678552478,-0.46779157380876585,-0.3201740422370795,0.0
2020-11-04,1.0,-0.08259532269183859,-0.5018560746672324,-0.2775892241607891,-0.4679694543140479,-0.32155167842180626,0.0
2020-11-05,1.0,-0.07573751390286532,-0.5061437423865262,-0.2734230178486309,-0.46779831576717334,-0.3250622318733118,0.0
2020-11-06,1.0,-0.07365858821039263,-0.5042597100222246,-0.27426182664832255,-0.46875330722827807,-0.3248491903905175,0.0
