Date,IWF,IWM,MTUM,SPY,TLND,VLUE,VXX
2020-01-15,-0.6553863974846931,-0.5019030282972033,-3.193777924871753,-2.2949693860665232,1.0,-0.627999338077114,0.0
2020-01-16,-0.6607852882703777,-0.48699469847581184,-3.1750331345261764,-2.3052518223989398,1.0,-0.6555666003976144,0.0
2020-01-17,-0.6927457291408765,-0.4888173640340018,-3.1319633572666503,-2.3106379466864735,1.0,-0.628703474457374,0.0
2020-01-21,-0.6755244755244755,-0.5051419169066228,-3.12027972027972,-2.2957630604689427,1.0,-0.6304401480872069,0.0
2020-01-22,-0.6831756478815302,-0.5155080213903742,-3.104319210201563,-2.3029206088029617,1.0,-0.6211435623200329,0.0
2020-01-23,-0.7061501531330188,-0.511215958943796,-3.0969290621637278,-2.320089396573131,1.0,-0.6430759043125569,0.0
2020-01-24,-0.7067980458723193,-0.5118820899229941,-3.1022604951560817,-2.3220998592365656,1.0,-0.6371615467417405,0.0
2020-01-27,-0.6765873015873015,-0.4930555555555555,-3.134920634920635,-2.313244047619048,1.0,-0.6493882275132274,0.0
2020-01-28,-0.6212208111429741,-0.5308480131093813,-3.1627201966407212,-2.2950430151577224,1.0,-0.583531339614912,0.0
2020-01-29,-0.5889143605698378,-0.5406091370558376,-3.181185524807598,-2.2950712297363682,1.0,-0.581545767152448,0.0
2020-01-30,-0.6019465118181074,-0.5330007360758976,-3.1702788909789805,-2.300318966222295,1.0,-0.5731577656007197,0.0
2020-01-31,-0.4452696856071532,-0.38029997115661957,-2.891548889529853,-2.1429910585520626,1.0,-0.3507355062013268,0.0
2020-02-03,-0.4334751773049646,-0.35070921985815606,-2.861843971631206,-2.1160992907801424,1.0,-0.3299290780141844,0.0
2020-02-04,-0.3920876015542211,-0.335146591310491,-2.846979865771812,-2.1344401271635465,1.0,-0.3559166372306605,0.0
2020-02-05,-0.3513790278536319,-0.335199344620426,-2.735527034407428,-2.0889541234298195,1.0,-0.3157427635172037,0.0
2020-02-06,-0.4053684857591694,-0.33809166040571,-2.778293832388498,-2.0540946656649135,1.0,-0.2542859094324158,0.0
2020-02-07,-0.3929132245511026,-0.35338294531303344,-2.7804328531439886,-2.0494981907557865,1.0,-0.2511094422065952,0.0
2020-02-10,-0.39276030368763554,-0.3541214750542299,-2.7606426247288502,-2.034368221258134,1.0,-0.23678145336225595,0.0
2020-02-11,-0.3771935722450077,-0.33658306999260407,-2.7404693067975527,-2.0073959523969607,1.0,-0.26188395078329857,0.0
2020-02-12,-0.3707052441229657,-0.33842341437278145,-2.7406067912397027,-1.9981247069854664,1.0,-0.24961489518451543,0.0
2020-02-13,-0.3693048772328896,-0.3534488526125644,-2.7392118819830067,-1.9989964541379541,1.0,-0.229343681006222,0.0
2020-02-14,-0.3611615245009074,-0.36855548833770246,-2.7730053102103915,-1.9874302614774482,1.0,-0.23156550379780869,0.0
2020-02-18,-0.34700382490437737,-0.3977192236860745,-2.884827879303017,-2.0875478113047174,1.0,-0.3659866836662417,0.0
2020-02-19,-0.3326455101750391,-0.4417247758645226,-2.893980361462929,-2.070086808026185,1.0,-0.3769745268251032,0.0
2020-02-20,-0.4095902612826603,-0.45516627078384797,-2.9715706650831355,-2.160258313539192,1.0,-0.4262173396674584,0.0
2020-02-21,-0.3859115201900237,-0.4703830166270783,-2.98166567695962,-2.1607779097387176,1.0,-0.4240647268408551,0.0
2020-02-24,-0.32046941999548634,-0.5017678477394117,-3.0531858873091102,-2.210411494771684,1.0,-0.43692168810652227,0.0
2020-02-25,-0.23418602946566006,-0.6060983654621418,-3.090302719343253,-2.0252143956607784,1.0,-0.3739646705270102,0.0
2020-02-26,-0.23949134581419992,-0.5426351112681032,-3.0192158247968917,-1.995337336630166,1.0,-0.26803249735075946,0.0
2020-02-27,-0.278114858191054,-0.5231409623253844,-2.9961196557076337,-2.008325102299986,1.0,-0.24940031042754338,0.0
2020-02-28,-0.2113212591057943,-0.7217135601149501,-2.797700995789614,-1.7519214061351331,1.0,-0.2005613847490476,0.0
2020-03-02,-0.26003467128950525,-0.6651553540472063,-2.7691025470062676,-1.7713028403787172,1.0,-0.20202693692492332,0.0
